date,product_id,product_name,category,category_encoded,price,stock_purchased,quantity_sold,stock_wasted,stock_remaining,promotion_active,day_of_week,month,quarter,is_weekend,is_holiday,holiday_impact,temperature,humidity,precipitation,weather_condition,store_id
2024-01-11,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,65,49,0,16,False,3,1,1,False,False,0,26.7,61,0.4,Cloudy,STORE_001
2024-01-11,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,67,44,1,22,False,3,1,1,False,False,0,26.7,61,0.4,Cloudy,STORE_001
2024-01-11,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,48,33,0,15,False,3,1,1,False,False,0,26.7,61,0.4,Cloudy,STORE_001
2024-01-12,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,126,88,3,35,False,4,1,1,False,False,0,25.2,59,0.2,Clear,STORE_001
2024-01-12,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,108,88,1,19,True,4,1,1,False,False,0,25.2,59,0.2,Clear,STORE_001
2024-01-12,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,68,52,1,15,False,4,1,1,False,False,0,25.2,59,0.2,Clear,STORE_001
2024-01-12,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,44,35,0,9,False,4,1,1,False,False,0,25.2,59,0.2,Clear,STORE_001
2024-01-12,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,41,29,0,12,False,4,1,1,False,False,0,25.2,59,0.2,Clear,STORE_001
2024-01-13,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,145,102,5,38,False,5,1,1,True,False,0,31.3,57,0.4,Clear,STORE_001
2024-01-13,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,144,101,3,40,True,5,1,1,True,False,0,31.3,57,0.4,Clear,STORE_001
2024-01-13,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,139,97,2,40,False,5,1,1,True,False,0,31.3,57,0.4,Clear,STORE_001
2024-01-13,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,67,57,0,10,False,5,1,1,True,False,0,31.3,57,0.4,Clear,STORE_001
2024-01-13,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,36,27,0,9,False,5,1,1,True,False,0,31.3,57,0.4,Clear,STORE_001
2024-01-14,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,197,137,5,55,False,6,1,1,True,False,0,33.1,41,0.5,Cloudy,STORE_001
2024-01-14,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,159,103,6,50,False,6,1,1,True,False,0,33.1,41,0.5,Cloudy,STORE_001
2024-01-14,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,99,64,1,34,False,6,1,1,True,False,0,33.1,41,0.5,Cloudy,STORE_001
2024-01-14,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,102,66,2,34,True,6,1,1,True,False,0,33.1,41,0.5,Cloudy,STORE_001
2024-01-14,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,56,36,0,20,False,6,1,1,True,False,0,33.1,41,0.5,Cloudy,STORE_001
2024-01-15,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,120,85,3,32,False,0,1,1,False,False,0,30.5,77,0.1,Cloudy,STORE_001
2024-01-15,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,89,61,1,27,False,0,1,1,False,False,0,30.5,77,0.1,Cloudy,STORE_001
2024-01-15,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,87,61,1,25,False,0,1,1,False,False,0,30.5,77,0.1,Cloudy,STORE_001
2024-01-15,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,60,47,0,13,False,0,1,1,False,False,0,30.5,77,0.1,Cloudy,STORE_001
2024-01-15,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,36,26,0,10,False,0,1,1,False,False,0,30.5,77,0.1,Cloudy,STORE_001
2024-01-16,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,177,129,2,46,False,1,1,1,False,False,0,35.3,69,0.1,Clear,STORE_001
2024-01-16,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,114,93,2,19,True,1,1,1,False,False,0,35.3,69,0.1,Clear,STORE_001
2024-01-16,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,85,45,1,39,False,1,1,1,False,False,0,35.3,69,0.1,Clear,STORE_001
2024-01-16,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,63,48,0,15,True,1,1,1,False,False,0,35.3,69,0.1,Clear,STORE_001
2024-01-16,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,43,26,1,16,True,1,1,1,False,False,0,35.3,69,0.1,Clear,STORE_001
2024-01-17,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,129,89,2,38,False,2,1,1,False,False,0,33.4,60,0.4,Clear,STORE_001
2024-01-17,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,64,43,1,20,False,2,1,1,False,False,0,33.4,60,0.4,Clear,STORE_001
2024-01-17,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,55,38,0,17,False,2,1,1,False,False,0,33.4,60,0.4,Clear,STORE_001
2024-01-17,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,53,42,0,11,False,2,1,1,False,False,0,33.4,60,0.4,Clear,STORE_001
2024-01-17,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,34,27,0,7,False,2,1,1,False,False,0,33.4,60,0.4,Clear,STORE_001
2024-01-18,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,155,117,2,36,False,3,1,1,False,False,0,35.9,54,0.1,Clear,STORE_001
2024-01-18,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,100,74,2,24,True,3,1,1,False,False,0,35.9,54,0.1,Clear,STORE_001
2024-01-18,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,87,66,0,21,True,3,1,1,False,False,0,35.9,54,0.1,Clear,STORE_001
2024-01-18,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,45,37,0,8,False,3,1,1,False,False,0,35.9,54,0.1,Clear,STORE_001
2024-01-18,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,40,28,0,12,False,3,1,1,False,False,0,35.9,54,0.1,Clear,STORE_001
2024-01-19,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,132,103,2,27,False,4,1,1,False,False,0,31.1,30,0.1,Clear,STORE_001
2024-01-19,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,78,60,1,17,True,4,1,1,False,False,0,31.1,30,0.1,Clear,STORE_001
2024-01-19,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,82,57,1,24,False,4,1,1,False,False,0,31.1,30,0.1,Clear,STORE_001
2024-01-19,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,73,48,1,24,False,4,1,1,False,False,0,31.1,30,0.1,Clear,STORE_001
2024-01-19,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,39,26,0,13,False,4,1,1,False,False,0,31.1,30,0.1,Clear,STORE_001
2024-01-20,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,160,120,4,36,False,5,1,1,True,False,0,29.4,62,0.1,Cloudy,STORE_001
2024-01-20,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,104,77,3,24,False,5,1,1,True,False,0,29.4,62,0.1,Cloudy,STORE_001
2024-01-20,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,66,48,0,18,False,5,1,1,True,False,0,29.4,62,0.1,Cloudy,STORE_001
2024-01-20,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,50,39,0,11,False,5,1,1,True,False,0,29.4,62,0.1,Cloudy,STORE_001
2024-01-20,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,62,40,0,22,False,5,1,1,True,False,0,29.4,62,0.1,Cloudy,STORE_001
2024-01-21,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,211,134,7,70,False,6,1,1,True,False,0,36.0,76,0.6,Clear,STORE_001
2024-01-21,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,108,71,2,35,False,6,1,1,True,False,0,36.0,76,0.6,Clear,STORE_001
2024-01-21,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,72,48,1,23,False,6,1,1,True,False,0,36.0,76,0.6,Clear,STORE_001
2024-01-21,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,155,66,4,85,False,6,1,1,True,False,0,36.0,76,0.6,Clear,STORE_001
2024-01-21,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,46,36,0,10,False,6,1,1,True,False,0,36.0,76,0.6,Clear,STORE_001
2024-01-22,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,186,112,8,66,True,0,1,1,False,False,0,31.8,72,0.8,Clear,STORE_001
2024-01-22,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,61,51,0,10,False,0,1,1,False,False,0,31.8,72,0.8,Clear,STORE_001
2024-01-22,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,95,65,1,29,False,0,1,1,False,False,0,31.8,72,0.8,Clear,STORE_001
2024-01-22,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,41,28,0,13,False,0,1,1,False,False,0,31.8,72,0.8,Clear,STORE_001
2024-01-22,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,39,26,0,13,False,0,1,1,False,False,0,31.8,72,0.8,Clear,STORE_001
2024-01-23,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,125,89,2,34,False,1,1,1,False,False,0,28.9,53,0.0,Cloudy,STORE_001
2024-01-23,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,118,79,3,36,True,1,1,1,False,False,0,28.9,53,0.0,Cloudy,STORE_001
2024-01-23,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,52,35,1,16,False,1,1,1,False,False,0,28.9,53,0.0,Cloudy,STORE_001
2024-01-23,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,42,32,0,10,False,1,1,1,False,False,0,28.9,53,0.0,Cloudy,STORE_001
2024-01-23,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,74,34,2,38,True,1,1,1,False,False,0,28.9,53,0.0,Cloudy,STORE_001
2024-01-24,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,166,133,2,31,True,2,1,1,False,False,0,26.9,62,0.3,Clear,STORE_001
2024-01-24,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,123,57,4,62,False,2,1,1,False,False,0,26.9,62,0.3,Clear,STORE_001
2024-01-24,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,65,49,0,16,False,2,1,1,False,False,0,26.9,62,0.3,Clear,STORE_001
2024-01-24,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,61,45,0,16,False,2,1,1,False,False,0,26.9,62,0.3,Clear,STORE_001
2024-01-24,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,26,20,0,6,False,2,1,1,False,False,0,26.9,62,0.3,Clear,STORE_001
2024-01-25,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,164,130,2,32,False,3,1,1,False,False,0,29.8,86,0.7,Cloudy,STORE_001
2024-01-25,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,170,68,7,95,False,3,1,1,False,False,0,29.8,86,0.7,Cloudy,STORE_001
2024-01-25,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,112,66,3,43,False,3,1,1,False,False,0,29.8,86,0.7,Cloudy,STORE_001
2024-01-25,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,59,39,1,19,False,3,1,1,False,False,0,29.8,86,0.7,Cloudy,STORE_001
2024-01-25,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,36,29,0,7,False,3,1,1,False,False,0,29.8,86,0.7,Cloudy,STORE_001
2024-01-26,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,211,144,6,61,False,4,1,1,False,True,2,20.5,48,0.1,Clear,STORE_001
2024-01-26,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,102,82,1,19,False,4,1,1,False,True,2,20.5,48,0.1,Clear,STORE_001
2024-01-26,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,115,79,0,36,False,4,1,1,False,True,2,20.5,48,0.1,Clear,STORE_001
2024-01-26,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,98,74,1,23,False,4,1,1,False,True,2,20.5,48,0.1,Clear,STORE_001
2024-01-26,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,50,37,0,13,False,4,1,1,False,True,2,20.5,48,0.1,Clear,STORE_001
2024-01-27,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,199,144,4,51,False,5,1,1,True,False,0,29.7,79,0.1,Clear,STORE_001
2024-01-27,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,147,87,6,54,False,5,1,1,True,False,0,29.7,79,0.1,Clear,STORE_001
2024-01-27,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,99,76,1,22,False,5,1,1,True,False,0,29.7,79,0.1,Clear,STORE_001
2024-01-27,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,80,54,1,25,False,5,1,1,True,False,0,29.7,79,0.1,Clear,STORE_001
2024-01-27,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,58,27,1,30,False,5,1,1,True,False,0,29.7,79,0.1,Clear,STORE_001
2024-01-28,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,164,115,2,47,False,6,1,1,True,False,0,32.0,67,0.2,Cloudy,STORE_001
2024-01-28,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,143,92,3,48,False,6,1,1,True,False,0,32.0,67,0.2,Cloudy,STORE_001
2024-01-28,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,103,76,1,26,False,6,1,1,True,False,0,32.0,67,0.2,Cloudy,STORE_001
2024-01-28,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,83,61,0,22,False,6,1,1,True,False,0,32.0,67,0.2,Cloudy,STORE_001
2024-01-28,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,55,34,0,21,False,6,1,1,True,False,0,32.0,67,0.2,Cloudy,STORE_001
2024-01-29,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,168,109,3,56,False,0,1,1,False,False,0,36.2,55,0.1,Cloudy,STORE_001
2024-01-29,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,76,59,1,16,False,0,1,1,False,False,0,36.2,55,0.1,Cloudy,STORE_001
2024-01-29,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,65,48,0,17,False,0,1,1,False,False,0,36.2,55,0.1,Cloudy,STORE_001
2024-01-29,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,53,37,0,16,False,0,1,1,False,False,0,36.2,55,0.1,Cloudy,STORE_001
2024-01-29,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,39,29,0,10,False,0,1,1,False,False,0,36.2,55,0.1,Cloudy,STORE_001
2024-01-30,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,142,114,3,25,False,1,1,1,False,False,0,34.2,95,0.3,Clear,STORE_001
2024-01-30,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,92,71,2,19,False,1,1,1,False,False,0,34.2,95,0.3,Clear,STORE_001
2024-01-30,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,90,73,0,17,False,1,1,1,False,False,0,34.2,95,0.3,Clear,STORE_001
2024-01-30,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,26,18,0,8,False,1,1,1,False,False,0,34.2,95,0.3,Clear,STORE_001
2024-01-30,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,30,24,0,6,False,1,1,1,False,False,0,34.2,95,0.3,Clear,STORE_001
2024-01-31,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,130,78,3,49,False,2,1,1,False,False,0,33.3,77,0.4,Cloudy,STORE_001
2024-01-31,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,105,74,2,29,False,2,1,1,False,False,0,33.3,77,0.4,Cloudy,STORE_001
2024-01-31,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,119,73,2,44,True,2,1,1,False,False,0,33.3,77,0.4,Cloudy,STORE_001
2024-01-31,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,45,31,0,14,False,2,1,1,False,False,0,33.3,77,0.4,Cloudy,STORE_001
2024-01-31,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,50,34,0,16,False,2,1,1,False,False,0,33.3,77,0.4,Cloudy,STORE_001
2024-02-01,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,126,86,4,36,False,3,2,1,False,False,0,24.2,67,0.4,Clear,STORE_001
2024-02-01,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,126,62,6,58,False,3,2,1,False,False,0,24.2,67,0.4,Clear,STORE_001
2024-02-01,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,84,65,0,19,False,3,2,1,False,False,0,24.2,67,0.4,Clear,STORE_001
2024-02-01,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,63,40,1,22,False,3,2,1,False,False,0,24.2,67,0.4,Clear,STORE_001
2024-02-01,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,35,25,0,10,False,3,2,1,False,False,0,24.2,67,0.4,Clear,STORE_001
2024-02-02,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,151,94,5,52,False,4,2,1,False,False,0,29.5,79,0.3,Clear,STORE_001
2024-02-02,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,111,78,3,30,False,4,2,1,False,False,0,29.5,79,0.3,Clear,STORE_001
2024-02-02,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,93,59,0,34,False,4,2,1,False,False,0,29.5,79,0.3,Clear,STORE_001
2024-02-02,RICE_1KG_001,Rice 1KG Pack,Grocery,2,65.0,64,44,0,20,False,4,2,1,False,False,0,29.5,79,0.3,Clear,STORE_001
2024-02-02,OIL_1L_001,Cooking Oil 1L,Grocery,2,145.0,42,30,0,12,True,4,2,1,False,False,0,29.5,79,0.3,Clear,STORE_001
2024-02-03,MILK_1L_001,Milk 1L Pack,Dairy,1,28.0,221,174,3,44,True,5,2,1,True,False,0,37.2,82,0.1,Clear,STORE_001
2024-02-03,BREAD_LOAF_001,Bread Loaf,Bakery,0,35.0,121,90,3,28,False,5,2,1,True,False,0,37.2,82,0.1,Clear,STORE_001
2024-02-03,EGGS_DOZEN_001,Eggs (12 pieces),Dairy,1,72.0,141,104,1,36,True,5,2,1,True,False,0,37.2,82,0.1,Clear,STORE_001
